"","titre","resume","mots.clefs","mots.clefs_nb","auteurs","Auteurs_sexes","auteurs_nb","Annee","Volume","Numero","Periode","rubrique_net1","ident","rubrique_net","auteurs_nbs","langue"
"527","l'homicide et le suicide dans le monde industriel le cas russe","","",0,"Jean-Claude Chesnais","HommeS",1,1999,54,1,"(1990,2000]","notes de recherche et documents",917,"article","1","fr"
"528","la communication entre conjoints sur la planification familiale au cameroun les normes et les stratégies du couple en matière de fécondité","","",0,"Jean-Paul Sanderson; Amadou Noumbissi","HommeS",2,1999,54,1,"(1990,2000]","notes de recherche et documents",918,"article","2","fr"
"529","évolution et variations géographiques de la surmortalité masculine : du paradoxe français à la logique russe","","",0,"Jacques Vallin; France Meslé","MixteS",2,1998,53,6,"(1990,2000]","",945,"","2","fr"
"530","l'insoutenable incertitude du nombre : estimations des décès de la période khmer rouge","","",0,"Patrick Heuveline","Homme",1,1998,53,6,"(1990,2000]","",946,"","1","fr"
"531","politique familiale et travail des mères de famille : perspective historique 1942-1982","","",0,"Jacqueline Martin","Femme",1,1998,53,6,"(1990,2000]","",947,"","1","fr"
"532","la morbidité dans les ménages originaires du maghreb, sur la base de l'enquête santé de l'insee, 1991-1992","","",0,"Dominique Laurier; Catherine Sermet; Myriam Khlat","MixteS",3,1998,53,6,"(1990,2000]","",948,"","3","fr"
"533","l'espérance de vie à la naissance et la surmortalité féminine en algérie en 1954","","",0,"Kamel Kateb","Homme",1,1998,53,6,"(1990,2000]","notes de recherche et documents",950,"article","1","fr"
"534","pratiques, opinions et attitudes en matière d'excision en afrique","","",0,"Thérèse Locoh","Femme",1,1998,53,6,"(1990,2000]","notes de recherche et documents",951,"article","1","fr"
"535","réflexions sur la distribution des décès au cours de la première année de vie","","",0,"Robert Woods; Chris Galley","HommeS",2,1998,53,5,"(1990,2000]","",960,"","2","fr"
"536","les migrations dans le système des villes françaises de 1982 à 1990","","",0,"Denise Pumain; Brigitte Baccaïni","FemmeS",2,1998,53,5,"(1990,2000]","",961,"","2","fr"
"537","effets des erreurs d'âge sur l'application de la méthode de brass à l'estimation de la fécondité en afrique","","",0,"Kuakuvi Gbényon","Homme",1,1998,53,5,"(1990,2000]","",962,"","1","fr"
"538","la situation démographique des régimes de retraite en france","","",0,"Jean-Claude Chesnais","HommeS",1,1998,53,5,"(1990,2000]","notes de recherche et documents",964,"article","1","fr"
"539","un garçon ou une fille ? le choix des femmes et des hommes à l'égard d'un seul enfant","","",0,"Martine Maheu; Jacques D. Marleau","MixteS",2,1998,53,5,"(1990,2000]","notes de recherche et documents",965,"article","2","fr"
"540","santé de la reproduction et sida en afrique subsaharienne : enjeux et défis","","",0,"Annabel Desgrées du Loû","FemmeS",1,1998,53,4,"(1990,2000]","",974,"","1","fr"
"541","travail des femmes et mariage: du baby-boom au baby-bust","","",0,"C.w.j. Granger; S. Grossbard-Shechtman",NA,2,1998,53,4,"(1990,2000]","",975,"","2","fr"
"542","l'évolution démographique récente","","",0,"France Prioux","FemmeS",1,1998,53,4,"(1990,2000]","la conjoncture démographique",976,"article","1","fr"
"543","la contraception en france : un bilan après 30 ans de libéralisation","","",0,"Henri Leridon; Catherine de Guibert-Lantoine","MixteS",2,1998,53,4,"(1990,2000]","la conjoncture démographique",977,"article","2","fr"
"544","la mortalité infantile en france","","",0,"Magali Barbieri","Femme",1,1998,53,4,"(1990,2000]","la conjoncture démographique",978,"article","1","fr"
"545","à propos de la mort subite du nourrisson","","",0,"C. Paclot; F. Hatton; Marie-Hélène Bouvier-Colle; M. Roussey; J. Sénécal",NA,5,1998,53,4,"(1990,2000]","la conjoncture démographique",979,"article","4+","fr"
"546","natalité et fécondité en chine : quel crédit accorder aux données récentes ?","","",0,"Minglei Sun; Isabelle Attané","FemmeS",2,1998,53,4,"(1990,2000]","la conjoncture démographique",980,"article","2","fr"
"547","indicateurs de la santé maternelle en algérie : évolution de 1962 à 1992","","",0,"J Des Forts",NA,1,1998,53,4,"(1990,2000]","la conjoncture démographique",981,"article","1","fr"
"548","les espérances de vie appliquées à des statuts spécifiques : historique des indicateurs et des méthodes de calcul","","",0,"Nicolas Brouard; Jean-Marie Robine; Emmanuelle Cambois","MixteS",3,1998,53,3,"(1990,2000]","",997,"","3","fr"
"549","états dépressifs et suicidaires pendant la jeunesse : résultats d'une enquête socio-démographique chez les 25-34 ans","","",0,"Paul Archambault","Homme",1,1998,53,3,"(1990,2000]","",998,"","1","fr"
"550","reconstruire la population féminine du département de l'hérault entre 1856 et 1906 à partir des données de la statistique générale de la france","","",0,"Noël Bonneuil","Homme",1,1998,53,3,"(1990,2000]","",999,"","1","fr"
"551","nationalité et origine dans la statistique française : les catégories ambiguës","","",0,"Patrick Simon","Homme",1,1998,53,3,"(1990,2000]","methodologie",1001,"article","1","fr"
"552","comment décrire les immigrés ? à propos de quelques recherches sur l'immigration","","",0,"Alain Blum","Homme",1,1998,53,3,"(1990,2000]","methodologie",1002,"article","1","fr"
"553","les catégories statistiques utilisées dans les dom-tom depuis le début de la présence française","","",0,"Jean-Louis Rallu","HommeS",1,1998,53,3,"(1990,2000]","methodologie",1003,"article","1","fr"
"554","la généralisation progressive du recueil de statistiques ethniques au royaume-uni","","",0,"Didier Lassalle","Homme",1,1998,53,3,"(1990,2000]","methodologie",1004,"article","1","fr"
"555","à propos de l'eugénisme scandinave bilan des recherches et travaux récents","","",0,"Alain Drouard","Homme",1,1998,53,3,"(1990,2000]","methodologie",1005,"article","1","fr"
"556","les huguenots en amérique aux xvie et xviie siècles","","",0,"Jacques Houdaille","HommeS",1,1998,53,3,"(1990,2000]","methodologie",1006,"article","1","fr"
"557","cyrano de bergerac, miroir (déformant) des connaissances et des idées démographiques du xviie siècle","","",0,"Éric Vilquin","Homme",1,1998,53,1,"(1990,2000]","methodologie",1024,"article","1","fr"
"558","leibniz et la mortalité : mesure des « apparences » et calcul de la vie moyenne","","",0,"Jacques Véron; Jean-Marc Rohrbasser","HommeS",2,1998,53,1,"(1990,2000]","methodologie",1025,"article","2","fr"
"559","fortune et infortunes de louis messance (2 janvier 1734-19 avril 1796)","","",0,"Christine Théré; Éric Brian","MixteS",2,1998,53,1,"(1990,2000]","methodologie",1026,"article","2","fr"
"560","deux inédits de louis messance","","",0,"Christine Théré; Éric Brian","MixteS",2,1998,53,1,"(1990,2000]","methodologie",1027,"article","2","fr"
"561","une controverse nataliste en france au xviiie_siècle : la polygamie","","",0,"Carol Blum","Femme",1,1998,53,1,"(1990,2000]","methodologie",1028,"article","1","fr"
"562","malthus populationniste ? une lecture transdisciplinaire","","",0,"Yves Charbit","Homme",1,1998,53,1,"(1990,2000]","methodologie",1029,"article","1","fr"
"563","du bon usage des quipus face à l'administration coloniale espagnole","","",0,"Carmen B. Loza","Femme",1,1998,53,1,"(1990,2000]","methodologie",1030,"article","1","fr"
"564","sources pour la démographie historique de l'empire ottoman : les tahrirs (dénombrements) de 1885 et 1907","","",0,"Cem Behar","Femme",1,1998,53,1,"(1990,2000]","methodologie",1031,"article","1","fr"
"565","essai sur le mouvement de la population de paris et de ses environs depuis le xvie_siècle","","",0,"Didier Blanchet; Jean-Noël Biraben","HommeS",2,1998,53,1,"(1990,2000]","methodologie",1033,"article","2","fr"
"566","traitement des données manquantes dans les séries issues des registres paroissiaux","","",0,"Noël Bonneuil","Homme",1,1998,53,1,"(1990,2000]","methodologie",1034,"article","1","fr"
"567","pour une histoire démographique de l'avortement","","",0,"Etienne Van de Walle","Homme",1,1998,53,1,"(1990,2000]","methodologie",1035,"article","1","fr"
"568","les composantes de la parenté biologique en régime de fécondité naturelle : l'exemple du québec ancien","","",0,"Hubert Charbonneau; Bertrand Desjardins; Jean-François Naud","HommeS",3,1998,53,1,"(1990,2000]","methodologie",1036,"article","3","fr"
"569","londres ou paris ? un grand débat dans le petit monde des arithméticiens politiques (1662-1759)","","",0,"Jacques Dupâquier","Homme",1,1998,53,1,"(1990,2000]","methodologie",1037,"article","1","fr"
"570","pour une étude socio-démographique des petites villes : l'exemple de belley en 1695","","",0,"Olivier Zeller","Homme",1,1998,53,1,"(1990,2000]","methodologie",1038,"article","1","fr"
"571","le surplus urbain des femmes en france préindustrielle et le rôle de la domesticité","","",0,"Antoinette Fauve-Chamoux","Femme",1,1998,53,1,"(1990,2000]","methodologie",1039,"article","1","fr"
"572","le choléra et la question des logements insalubres à paris (1832-1849)","","",0,"René Le Mée","Homme",1,1998,53,1,"(1990,2000]","methodologie",1040,"article","1","fr"
"573","jean-noël biraben","","",0,"Isabelle Séguy","Femme",1,1998,53,1,"(1990,2000]","methodologie",1041,"article","1","fr"
"574","jacqueline hecht","","",0,"C. Théré","FemmeS",1,1998,53,1,"(1990,2000]","methodologie",1042,"article","1","fr"
"575","jacques houdaille","","",0,"Marie-Claude Lunazzi","Femme",1,1998,53,1,"(1990,2000]","methodologie",1043,"article","1","fr"
"576","une étape du passage â l'âge adulte : l'emploi qui compte","","",0,"Jocelyn Courtois; Catherine Rougerie","FemmeS",2,1997,52,6,"(1990,2000]","",1045,"","2","fr"
"577","reconstituer la démographie départementale française du xixe_siècle","","",0,"Maks Banens","Mixte",1,1997,52,6,"(1990,2000]","",1046,"","1","fr"
"578","initiation sexuelle et genre : comparaison des évolutions de douze pays européens","","",0,"Osmo Kontula; Michel Bozon","HommeS",2,1997,52,6,"(1990,2000]","autres",1048,"autres","2","fr"
"579","modèles de sexualité conjugale : de l'influence normative du réseau social","","",0,"Alexis Ferrand; Philippe Huynen; Jacques Marquet","HommeS",3,1997,52,6,"(1990,2000]","autres",1049,"autres","3","fr"
"580","l'automne de l'amour : la vie sexuelle après 50 ans","","",0,"Joëlle Gaymu; Christiane Delbès","FemmeS",2,1997,52,6,"(1990,2000]","autres",1050,"autres","2","fr"
"581","parcours de jeunes homosexuels dans le contexte du vih : la conquête de modes de vie","","",0,"Marie-Ange Schiltz","Femme",1,1997,52,6,"(1990,2000]","autres",1051,"autres","1","fr"
"582","réflexions sur la population de la jordanie à partir du nouveau recensement de 1994","","",0,"Youssef Courbage","Homme",1,1997,52,6,"(1990,2000]","notes de recherche et documents",1058,"article","1","fr"
"583","la mortalité en france au travers des faire-part de décès : le « carnet » du figaro","","",0,"Michèle Dion","Femme",1,1997,52,6,"(1990,2000]","notes de recherche et documents",1059,"article","1","fr"
"584","vivre en couple chacun chez soi","","",0,"Catherine Villeneuve-Gokalp","Femme",1,1997,52,5,"(1990,2000]","",1068,"","1","fr"
"585","concurrence ou solidarité entre «jeunes» et «vieux» : les attitudes des lycéens en france","","",0,"Léon Gani; Brigitte Baccaïni","MixteS",2,1997,52,5,"(1990,2000]","",1069,"","2","fr"
"586","la reproduction des populations : une méthode de décomposition et d'estimation","","",0,"Massimo Livi Bacci; Gustavo De Santis","HommeS",2,1997,52,5,"(1990,2000]","",1070,"","2","fr"
"587","la fécondité au japon et en france","","",0,"Jean-Louis Rallu; Hiroshi Kojima","HommeS",2,1997,52,5,"(1990,2000]","",1071,"","2","fr"
"588","l'impossible descendance étrangère","","",0,"Hervé Le Bras","Homme",1,1997,52,5,"(1990,2000]","",1072,"","1","fr"
"589","démographie et élections en irlande du nord","","",0,"Youssef Courbage","Homme",1,1997,52,5,"(1990,2000]","notes de recherche et documents",1074,"article","1","fr"
"590","la baisse de la fécondité au liban","","",0,"Ahmad Abdel Moneim; Hala Naufal Rizkallah","HommeS",2,1997,52,5,"(1990,2000]","notes de recherche et documents",1075,"article","2","fr"
"591","niveau de vie et structure de la famille en période de transformation sociale : la russie des années 1990","","",0,"Lolita Terskikh; Lidia Prokofieva","FemmeS",2,1997,52,5,"(1990,2000]","notes de recherche et documents",1076,"article","2","fr"
"592","prénoms et révolution","","",0,"J. Hd.",NA,1,1997,52,5,"(1990,2000]","notes de recherche et documents",1088,"article","1","fr"
"593","analyse biographique des groupes les avancées d'une recherche en cours","","",0,"Éva Lelièvre; Catherine Bonvalet; Xavier Bry","MixteS",3,1997,52,4,"(1990,2000]","",1092,"","3","fr"
"594","analyse multi-niveaux en sciences sociales","","",0,"Brigitte Baccaïni; Daniel Courgeau","MixteS",2,1997,52,4,"(1990,2000]","",1093,"","2","fr"
"595","la statistique textuelle un outil exploratoire en sciences sociales","","",0,"France Guérin-Pace","Femme",1,1997,52,4,"(1990,2000]","",1094,"","1","fr"
"596","méthodes de micro-simulation pour des projections de population","","",0,"Wendy Post; Evert Van Imhoff","MixteS",2,1997,52,4,"(1990,2000]","",1095,"","2","fr"
"597","modèles démographiques non-linéaires et modèles à dynamique chaotique","","",0,"Didier Blanchet","Homme",1,1997,52,4,"(1990,2000]","",1096,"","1","fr"
"598","jeux, équilibres et régulation des populations sous contrainte de viabilité une lecture de l'œuvre de l'anthropologue fredrik barth","","",0,"Noël Bonneuil","Homme",1,1997,52,4,"(1990,2000]","",1097,"","1","fr"
"599","diffusion spatiale de la contraception en grande-bretagne, à l'origine de la transition","","",0,"Jean-Pierre Bocquet-Appel; Lucienne Jacobi","MixteS",2,1997,52,4,"(1990,2000]","",1098,"","2","fr"
"600","l'approche fractale un nouvel outil de réflexion dans l'analyse spatiale des agglomérations urbaines","","",0,"Pierre Frankhauser","Homme",1,1997,52,4,"(1990,2000]","",1099,"","1","fr"
"601","société d'origine et logiques migratoires les dogon de sangha","","",0,"Véronique Petit","Femme",1,1997,52,3,"(1990,2000]","",1104,"","1","fr"
"602","mobilité des jeunes à l'issue de leur premier emploi stable","","",0,"Jean-Marie Le Goff","Homme",1,1997,52,3,"(1990,2000]","",1105,"","1","fr"
"603","les couples mixtes dans la france contemporaine","","",0,"Gérard Neyrand; Marine M'sili","MixteS",2,1997,52,3,"(1990,2000]","",1106,"","2","fr"
"604","quelques statistiques sur la distribution des patronymes en france","","",0,"Jacques Ruffié; Pierre Darlu; Anna Degioanni","MixteS",3,1997,52,3,"(1990,2000]","",1107,"","3","fr"
"605","l'évolution démographique récente","","",0,"France Prioux","FemmeS",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1108,"article","1","fr"
"606","la mortalité par tumeur en france au tournant des années quatre-vingt-dix","","",0,"Alfred Nizard","Homme",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1109,"article","1","fr"
"607","la population des départements d'outre-mer évolution récente, migrations et activité","","",0,"Jean-Louis Rallu","HommeS",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1110,"article","1","fr"
"608","la situation démographique à mayotte","","",0,"Jean-Louis Rallu","HommeS",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1111,"article","1","fr"
"609","à propos de l'article sur l'évolution démographique en roumanie","","",0,"Alain Blum","Homme",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1113,"article","1","fr"
"610","réponse à a blum","","",0,"Cornelia Muresan","Femme",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1114,"article","1","fr"
"611","état-providence ; arguments pour une réforme","","",0,"Michel Grignon","Homme",1,1997,52,3,"(1990,2000]","la conjoncture démographique",1115,"article","1","fr"
"612","le droit antisémite de vichy","","",0,"J. Hd.",NA,1,1997,52,3,"(1990,2000]","la conjoncture démographique",1121,"article","1","fr"
"613","modalités et causes de la croissance récente des communes périurbaines d'ile-de-france","","",0,"Brigitte Baccaïni","Femme",1,1997,52,2,"(1990,2000]","",1125,"","1","fr"
"614","les navettes des périurbains d'ile-de-france","","",0,"Brigitte Baccaïni","Femme",1,1997,52,2,"(1990,2000]","",1126,"","1","fr"
"615","le déclin des entrées à l'université italined'ici 2008","","",0,"Angelo Guerriero; Angelo Di Francia; Andrea Cammelli","MixteS",3,1997,52,2,"(1990,2000]","",1127,"","3","fr"
"616","évolution récente de la mortalité infantile à bamako, mali","","",0,"Jean-François Etard; Belco Kodio","HommeS",2,1997,52,2,"(1990,2000]","",1128,"","2","fr"
"617","la gestion administrative de l'émigration algérienne vers les pays musulmans au lendemain de la conquête de l'algérie (1830-1914)","","",0,"Kamel Kateb","Homme",1,1997,52,2,"(1990,2000]","",1129,"","1","fr"
"618","le suicide dans la police nationale","","",0,"Nicolas Bourgoin","Homme",1,1997,52,2,"(1990,2000]","notes de recherche et documents",1130,"article","1","fr"
"619","vieillissement et réforme du système des retraites en italie","","",0,"Stéphanie Toutain","Femme",1,1997,52,2,"(1990,2000]","notes de recherche et documents",1131,"article","1","fr"
"620","réaction d'une population hétérogène à une perturbation un modèle d'interprétation des évolutions de mortalité en russie","","",0,"Evgueni M. Andreev; Serge Zakharov; Alexandre Avdeev; Alain Blum","HommeS",4,1997,52,1,"(1990,2000]","",1145,"","4+","fr"
"621","les réponses des hommes valent-elles celles des femmes ? une double collecte sur les questions génésiques et matrimoniales dans une population du mali","","",0,"Véronique Hertrich","Femme",1,1997,52,1,"(1990,2000]","",1146,"","1","fr"
"622","l'estimation de la mortalité urbaine sous l'ancien régime : aix-en-provence et toulouse en 1695","","",0,"Nathalie Ostroot","Femme",1,1997,52,1,"(1990,2000]","",1147,"","1","fr"
"623","le capital éducatif : une approche démographique","","",0,"Pierre Villa","Homme",1,1997,52,1,"(1990,2000]","",1148,"","1","fr"
"624","dix ans de perspectives de la population étrangère : une perspective","","",0,"Hervé Le Bras","Homme",1,1997,52,1,"(1990,2000]","autres",1149,"autres","1","fr"
"625","une surprenante réécriture de l'histoire","","",0,"Michèle Tribalat","Femme",1,1997,52,1,"(1990,2000]","autres",1150,"autres","1","fr"
"626","la méthode de projection de la population étrangère utilisée par l'insee en 1986","","",0,"Jean-Claude Labat","Homme",1,1997,52,1,"(1990,2000]","autres",1151,"autres","1","fr"
"627","chronique de l'immigration les populations d'origine étrangère en france métropolitaine","","",0,"Michèle Tribalat","Femme",1,1997,52,1,"(1990,2000]","autres",1152,"autres","1","fr"
"628","la fécondité palestininedes lendemains d'intifada","","",0,"Youssef Courbage","Homme",1,1997,52,1,"(1990,2000]","autres",1153,"autres","1","fr"
"629","la récession démographique dans l'ex-urss","","",0,"Jean-Claude Chesnais","HommeS",1,1997,52,1,"(1990,2000]","autres",1154,"autres","1","fr"
"630","vers le xxe_siècle : tendances socio-démographiques et enjeux politiques au canada","","",0,"L. M.",NA,1,1997,52,1,"(1990,2000]","autres",1162,"autres","1","fr"
"631","la transition de la fécondité en iran","","",0,"Marie Ladier-Fouladi","Femme",1,1996,51,6,"(1990,2000]","",1169,"","1","fr"
"632","le facteur démographique dans la marche de l'irlande vers la partition (1607-1921)","","",0,"Youssef Courbage","Homme",1,1996,51,6,"(1990,2000]","",1170,"","1","fr"
"633","patronymes italiens et migration italienne en france entre 1891 et 1940","","",0,"Pierre Darlu; Gianna Zei; Antonella Lisa; Anna Degioanni","MixteS",4,1996,51,6,"(1990,2000]","",1171,"","4+","fr"
"634","les transformations socio-démographiques des filières de l'enseignement supérieur de 1985 à 1995 essai d'interprétation","","",0,"Pierre Merle","Homme",1,1996,51,6,"(1990,2000]","",1172,"","1","fr"
"635","treize ans de réflexion : de l'histoire des populations à la démographie historique (france, 1945-1958)","","",0,"Paul-André Rosental","HommeS",1,1996,51,6,"(1990,2000]","",1173,"","1","fr"
"636","une enquête sur la pratique de la langue française au liban","","",0,"Youssef Courbage","Homme",1,1996,51,6,"(1990,2000]","notes de recherche et documents",1174,"article","1","fr"
"637","garçon ou fille ? les préférences pour le sexe des enfants dans les générations suédoises 1946-1975","","",0,"Ylva Schullström","Femme",1,1996,51,6,"(1990,2000]","notes de recherche et documents",1175,"article","1","fr"
"638","les français à la nouvelle-orléans (1850-1860)","","",0,"Jacques Houdaille","HommeS",1,1996,51,6,"(1990,2000]","notes de recherche et documents",1176,"article","1","fr"
"639","l'évolution démographique en roumanie : tendances passées (1948-1994) et perspectives d'avenir (1995-2030)","","",0,"Cornelia Muresan","Femme",1,1996,51,4,"(1990,2000]","",1184,"","1","fr"
"640","l'évolution des causes de décès d'enfants en afrique : une étude de cas au sénégal avec la méthode d'autopsie verbale","","",0,"Badara Samb; Gilles Pison; Annabel Desgrées du Loû; Jean-François Trape","MixteS",4,1996,51,4,"(1990,2000]","",1185,"","4+","fr"
"641","les facteurs prédictifs de l'intervalle protogénésique : une étude au bangladesh","","",0,"Lawrence Moulton; Nizam Khan; Ann Riley","MixteS",3,1996,51,4,"(1990,2000]","",1186,"","3","fr"
"642","les formes de la vie conjugale des jeunes couples «âgés»","","",0,"Vincent Caradec","Homme",1,1996,51,4,"(1990,2000]","",1187,"","1","fr"
"643","caractéristiques sociodémographiques et mortalité des députés québécois aux xixe et xxe_siècles : une analyse par génération","","",0,"Valérie Émond; Robert Bourbeau","MixteS",2,1996,51,4,"(1990,2000]","",1188,"","2","fr"
"644","vers la saturation ? une approche démographique de l'équipement des ménages en automobile dans trois régions urbaines","","",0,"Yves Bussière; Jimmy Armoogum; Jean-Loup Madre","HommeS",3,1996,51,4,"(1990,2000]","",1189,"","3","fr"
"645","les pertes démographiques en ukraine dans les années 1930 et 1940","","",0,"Sergei I. Pirozhkov","Homme",1,1996,51,4,"(1990,2000]","notes de recherche et documents",1192,"article","1","fr"
"646","le rôle des maladies sexuellement transmissibles en démographie historique","","",0,"Jean-Noël Biraben","HommeS",1,1996,51,4,"(1990,2000]","notes de recherche et documents",1193,"article","1","fr"
"647","la mortalité infantile en étatsuniss en 1979-1980 résultats d'une enquête inédite","","",0,"Evgueni M. Andreev; N. Ju. Ksenofontova",NA,2,1996,51,3,"(1990,2000]","",1205,"","2","fr"
"648","une population de pratiquants sportifs et leurs parcours : les cavaliers titulaires d'une licence","","",0,"Vérène Chevalier","Homme",1,1996,51,3,"(1990,2000]","",1206,"","1","fr"
"649","le pasteur jean-louis muret (1715-1796) : de la controverse sur la dépopulation à l'analyse démographique","","",0,"Cem Behar","Femme",1,1996,51,3,"(1990,2000]","",1207,"","1","fr"
"650","changement de paradigme en démographie","","",0,"Éva Lelièvre; Daniel Courgeau","MixteS",2,1996,51,3,"(1990,2000]","",1208,"","2","fr"
"651","l'évolution démographique récente","","",0,"France Prioux","FemmeS",1,1996,51,3,"(1990,2000]","la conjoncture démographique",1209,"article","1","fr"
"652","la cohabitation hors mariage s'installe dans la durée","","",0,"Laurent Toulemon","Homme",1,1996,51,3,"(1990,2000]","la conjoncture démographique",1210,"article","1","fr"
"653","l'évolution du divorce en france","","",0,"Jean-Paul Sardon","Homme",1,1996,51,3,"(1990,2000]","la conjoncture démographique",1211,"article","1","fr"
"654","la pratique des langues locales en iran","","",0,"Mehdi Amani","Homme",1,1996,51,3,"(1990,2000]","la conjoncture démographique",1212,"article","1","fr"
"655","le centre du mexique : de la suburbanisation vers la mégalopolisation","","",0,"Ana Maria Chavez-Galindo; Sandra Savenberg","FemmeS",2,1996,51,3,"(1990,2000]","la conjoncture démographique",1213,"article","2","fr"
"656","les suicides en grande-bretagne de 1971 à 1992","","",0,"Didier Lassalle","Homme",1,1996,51,3,"(1990,2000]","la conjoncture démographique",1214,"article","1","fr"
"657","les prénoms des protestants au xvie_siècle","","",0,"Jacques Houdaille","HommeS",1,1996,51,3,"(1990,2000]","la conjoncture démographique",1215,"article","1","fr"
"658","de quelques usages du nombre en sociologie autour des travaux d'alain girard, de la formation et de l'insertion des jeunes","","",0,"José Rose","Homme",1,1996,51,2,"(1990,2000]","",1225,"","1","fr"
"659","la mortalité en russie aux xviiie et xixe_siècles : estimations locales à partir des revizii","","",0,"Alain Blum; Irina Troitskaia","MixteS",2,1996,51,2,"(1990,2000]","",1226,"","2","fr"
"660","la mortalité des enfants du sahel en ville et au village","","",0,"Thomas K. Legrand; Richard Lalou","HommeS",2,1996,51,2,"(1990,2000]","",1227,"","2","fr"
"661","images de la famille italienne en mutation","","",0,"Luciana Quattrociocchi; Rossella Palomba","FemmeS",2,1996,51,2,"(1990,2000]","",1228,"","2","fr"
"662","les dispenses civiles au mariage de 1960 à 1992 ii le mariage posthume : mariage de raison ou mariage d'amour ?","","",0,"Michèle Biégelmann-Massari","Femme",1,1996,51,2,"(1990,2000]","",1229,"","1","fr"
"663","spécificité de la démographie française","","",0,"Roland Pressat","Homme",1,1996,51,2,"(1990,2000]","anniversaire",1231,"article","1","fr"
"664","l'apport de l'école louvaniste de démographie : réflexions critiques sur le passé et nouveaux défis pour l'avenir des sciences de la population","","",0,"Michel Loriaux","Homme",1,1996,51,2,"(1990,2000]","anniversaire",1232,"article","1","fr"
"665","louis roussel un demi-siècle de démographie dans les pays industriels quelques réflexions sur un bilan","","",0,"Jean-Claude Chasteland","HommeS",1,1996,51,2,"(1990,2000]","anniversaire",1233,"article","1","fr"
"666","démographie, statistique et vie privée","","",0,"Benoît Riandey","Homme",1,1996,51,2,"(1990,2000]","anniversaire",1234,"article","1","fr"
"667","influence du sexe des premiers enfants sur le comportement reproducteur : une étude canadienne","","",0,"Jacques D. Marleau; Jean-François Saucier","HommeS",2,1996,51,2,"(1990,2000]","anniversaire",1235,"article","2","fr"
"668","où se marie-t-on, où meurt-on ? les mentions marginales dans le val-de-marne et à paris","","",0,"Jacques Houdaille","HommeS",1,1996,51,2,"(1990,2000]","anniversaire",1236,"article","1","fr"
"669","affiner la mesure de la migration en irlande du nord","","",0,"Youssef Courbage","Homme",1,1996,51,2,"(1990,2000]","anniversaire",1237,"article","1","fr"
"670","effet de stratification et structure génétique d'une population : les dogon de sangha (mali)","","",0,"Gil Bellis","HommeS",1,1996,51,2,"(1990,2000]","anniversaire",1238,"article","1","fr"
"671","le rôle des familles nombreuses dans la fécondité : le cas de la province orientale de l'arabie saoudite","","",0,"Abu Jafar M. Suffian","Homme",1,1996,51,2,"(1990,2000]","anniversaire",1239,"article","1","fr"
"672","la démographie et les droits de l'homme","","",0,"Bruno Remiche; L. Lohlé-Tart",NA,2,1996,51,1,"(1990,2000]","",1255,"","2","fr"
"673","la place des familles à quatre générations en france","","",0,"Sophie Pennec","Femme",1,1996,51,1,"(1990,2000]","",1256,"","1","fr"
"674","les dispenses civiles au mariage de massari, 1960 à 1992 i le choix d'un parent pour conjoint","","",0,"Michèle Biégelmann-Massari","Femme",1,1996,51,1,"(1990,2000]","",1257,"","1","fr"
"675","comparer ménages et familles au niveau européen","","",0,"Richard Wall","Homme",1,1996,51,1,"(1990,2000]","",1258,"","1","fr"
"676","comment mesurer la profondeur généalogique d'une ascendance ?","","",0,"Marie-Hélène Cazes; Pierre Cazes","MixteS",2,1996,51,1,"(1990,2000]","",1259,"","2","fr"
"677","chronique de l'immigration","","",0,"Michèle Tribalat","Femme",1,1996,51,1,"(1990,2000]","",1260,"article","1","fr"
"678","mortalité et morbidité dues aux accidents de la route essai de comparaison belgique-québec","","",0,"M.-H. Vandersmissen; Isabelle Thomas; Denis Morin",NA,3,1996,51,1,"(1990,2000]","notes de recherche et documents",1261,"article","3","fr"
"679","nouvelles pistes pour la démographie au moyen-orient","","",0,"Youssef Courbage","Homme",1,1996,51,1,"(1990,2000]","notes de recherche et documents",1262,"article","1","fr"
"680","jean de la fontaine : le calcul démographique et probabiliste dans la fable le charlatan (1668)","","",0,"Paul Clerc","Homme",1,1996,51,1,"(1990,2000]","notes de recherche et documents",1263,"article","1","fr"
"681","le premier âge de population (1946-1962)","","",0,"Alain Girard","Homme",1,1995,50,6,"(1990,2000]","autres",1287,"autres","1","fr"
"682","l'ined à ses débuts : l'esprit sauvy","","",0,"Roland Pressat","Homme",1,1995,50,6,"(1990,2000]","autres",1288,"autres","1","fr"
"683","des cimes à la plume : alfred sauvy en quête de clarté","","",0,"Paul Paillat","HommeS",1,1995,50,6,"(1990,2000]","autres",1289,"autres","1","fr"
"684","les cartes et les graphiques de la revue population","","",0,"Jacques Bertin","Homme",1,1995,50,6,"(1990,2000]","autres",1290,"autres","1","fr"
"685","point critique pour un cinquantenaire contribution d'un sociologue","","",0,"Michel Verret","Homme",1,1995,50,6,"(1990,2000]","autres",1291,"autres","1","fr"
